row_index,ID,CAS,Formula,MolWt,SMILES,parse_mode
160,T0172,10347-81-6,C20H24ClN,313.864,CNCCCC12CCC(c3ccccc31)c1ccccc12.Cl,sanitized
161,T0173,849-55-8,C19H26ClNO2,335.87,CC(CCc1ccccc1)NC(C)C(O)c1ccc(O)cc1.Cl,sanitized
162,T0174,41354-29-4,C21H24ClNO,341.88,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1.CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1.Cl.Cl.O.O.O,sanitized
163,T0175,2016-88-8,C6H9Cl2N7O,266.09,Cl.N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,sanitized
164,T0175L,17440-83-4,C6H8ClN7O·HCl·2H2O,302.12,Cl.N=C(N)NC(=O)c1nc(Cl)c(N)nc1N.O.O,sanitized
165,T0178,945667-22-1,C18H25N3O2·H2O,333.43,N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2.O,sanitized
166,T0179,274693-27-5,C23H28F2N6O4S,522.57,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,sanitized
167,T0180,86541-74-4,C24H29ClN2O5,460.95,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O.Cl,sanitized
168,T0181,82034-46-6,C24H31ClO7,466.95,CCOC(=O)O[C@]1(C(=O)OCCl)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,sanitized
169,T0182,113665-84-2,C16H16ClNO2S,321.82,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1,sanitized
